Geography,Geography code,Week,CauseOfDeath,PlaceOfDeath,RegistrationOrOccurrence,death2020
Bromley,E09000006,Week 38,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 38,COVID 19,Hospital,Registrations,1
Bromley,E09000006,Week 38,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 38,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 39,COVID 19,Care home,Occurrences,1
Bromley,E09000006,Week 39,COVID 19,Care home,Registrations,1
Bromley,E09000006,Week 39,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 39,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 39,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 39,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 39,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 39,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 39,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 39,COVID 19,Hospital,Registrations,1
Bromley,E09000006,Week 39,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 39,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 4,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 4,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 4,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 4,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 4,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 4,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 4,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 4,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 4,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 4,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 4,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 4,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 40,COVID 19,Care home,Occurrences,1
Bromley,E09000006,Week 40,COVID 19,Care home,Registrations,1
Bromley,E09000006,Week 40,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 40,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 40,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 40,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 40,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 40,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 40,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 40,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 40,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 40,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 41,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 41,COVID 19,Care home,Registrations,1
Bromley,E09000006,Week 41,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 41,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 41,COVID 19,Home,Occurrences,1
Bromley,E09000006,Week 41,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 41,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 41,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 41,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 41,COVID 19,Hospital,Registrations,1
Bromley,E09000006,Week 41,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 41,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 42,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 42,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 42,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 42,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 42,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 42,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 42,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 42,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 42,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 42,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 42,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 42,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 43,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 43,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 43,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 43,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 43,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 43,COVID 19,Home,Registrations,1
Bromley,E09000006,Week 43,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 43,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 43,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 43,COVID 19,Hospital,Registrations,1
Bromley,E09000006,Week 43,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 43,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 44,COVID 19,Care home,Occurrences,1
Bromley,E09000006,Week 44,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 44,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 44,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 44,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 44,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 44,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 44,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 44,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 44,COVID 19,Hospital,Registrations,2
Bromley,E09000006,Week 44,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 44,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 45,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 45,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 45,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 45,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 45,COVID 19,Home,Occurrences,1
Bromley,E09000006,Week 45,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 45,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 45,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 45,COVID 19,Hospital,Occurrences,4
Bromley,E09000006,Week 45,COVID 19,Hospital,Registrations,2
Bromley,E09000006,Week 45,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 45,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 46,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 46,COVID 19,Care home,Registrations,1
Bromley,E09000006,Week 46,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 46,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 46,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 46,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 46,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 46,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 46,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 46,COVID 19,Hospital,Registrations,3
Bromley,E09000006,Week 46,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 46,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 47,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 47,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 47,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 47,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 47,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 47,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 47,COVID 19,Hospice,Occurrences,1
Bromley,E09000006,Week 47,COVID 19,Hospice,Registrations,1
Bromley,E09000006,Week 47,COVID 19,Hospital,Occurrences,4
Bromley,E09000006,Week 47,COVID 19,Hospital,Registrations,3
Bromley,E09000006,Week 47,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 47,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 48,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 48,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 48,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 48,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 48,COVID 19,Home,Occurrences,2
Bromley,E09000006,Week 48,COVID 19,Home,Registrations,1
Bromley,E09000006,Week 48,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 48,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 48,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 48,COVID 19,Hospital,Registrations,1
Bromley,E09000006,Week 48,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 48,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 49,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 49,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 49,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 49,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 49,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 49,COVID 19,Home,Registrations,1
Bromley,E09000006,Week 49,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 49,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 49,COVID 19,Hospital,Occurrences,2
Bromley,E09000006,Week 49,COVID 19,Hospital,Registrations,2
Bromley,E09000006,Week 49,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 49,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 5,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 5,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 5,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 5,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 5,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 5,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 5,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 5,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 5,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 5,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 5,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 5,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 50,COVID 19,Care home,Occurrences,1
Bromley,E09000006,Week 50,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 50,COVID 19,Elsewhere,Occurrences,1
Bromley,E09000006,Week 50,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 50,COVID 19,Home,Occurrences,3
Bromley,E09000006,Week 50,COVID 19,Home,Registrations,1
Bromley,E09000006,Week 50,COVID 19,Hospice,Occurrences,1
Bromley,E09000006,Week 50,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 50,COVID 19,Hospital,Occurrences,1
Bromley,E09000006,Week 50,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 50,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 50,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 51,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 51,COVID 19,Care home,Registrations,1
Bromley,E09000006,Week 51,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 51,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 51,COVID 19,Home,Occurrences,1
Bromley,E09000006,Week 51,COVID 19,Home,Registrations,2
Bromley,E09000006,Week 51,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 51,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 51,COVID 19,Hospital,Occurrences,8
Bromley,E09000006,Week 51,COVID 19,Hospital,Registrations,5
Bromley,E09000006,Week 51,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 51,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 52,COVID 19,Care home,Occurrences,1
Bromley,E09000006,Week 52,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 52,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 52,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 52,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 52,COVID 19,Home,Registrations,1
Bromley,E09000006,Week 52,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 52,COVID 19,Hospice,Registrations,1
Bromley,E09000006,Week 52,COVID 19,Hospital,Occurrences,7
Bromley,E09000006,Week 52,COVID 19,Hospital,Registrations,4
Bromley,E09000006,Week 52,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 52,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 53,COVID 19,Care home,Occurrences,2
Bromley,E09000006,Week 53,COVID 19,Care home,Registrations,1
Bromley,E09000006,Week 53,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 53,COVID 19,Elsewhere,Registrations,1
Bromley,E09000006,Week 53,COVID 19,Home,Occurrences,3
Bromley,E09000006,Week 53,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 53,COVID 19,Hospice,Occurrences,1
Bromley,E09000006,Week 53,COVID 19,Hospice,Registrations,1
Bromley,E09000006,Week 53,COVID 19,Hospital,Occurrences,30
Bromley,E09000006,Week 53,COVID 19,Hospital,Registrations,10
Bromley,E09000006,Week 53,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 53,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 6,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 6,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 6,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 6,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 6,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 6,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 6,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 6,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 6,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 6,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 6,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 6,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 7,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 7,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 7,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 7,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 7,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 7,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 7,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 7,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 7,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 7,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 7,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 7,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 8,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 8,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 8,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 8,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 8,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 8,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 8,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 8,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 8,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 8,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 8,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 8,COVID 19,Other communal establishment,Registrations,0
Bromley,E09000006,Week 9,COVID 19,Care home,Occurrences,0
Bromley,E09000006,Week 9,COVID 19,Care home,Registrations,0
Bromley,E09000006,Week 9,COVID 19,Elsewhere,Occurrences,0
Bromley,E09000006,Week 9,COVID 19,Elsewhere,Registrations,0
Bromley,E09000006,Week 9,COVID 19,Home,Occurrences,0
Bromley,E09000006,Week 9,COVID 19,Home,Registrations,0
Bromley,E09000006,Week 9,COVID 19,Hospice,Occurrences,0
Bromley,E09000006,Week 9,COVID 19,Hospice,Registrations,0
Bromley,E09000006,Week 9,COVID 19,Hospital,Occurrences,0
Bromley,E09000006,Week 9,COVID 19,Hospital,Registrations,0
Bromley,E09000006,Week 9,COVID 19,Other communal establishment,Occurrences,0
Bromley,E09000006,Week 9,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 1,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 1,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 1,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 1,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 1,COVID 19,Home,Occurrences,0
Camden,E09000007,Week 1,COVID 19,Home,Registrations,0
Camden,E09000007,Week 1,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 1,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 1,COVID 19,Hospital,Occurrences,0
Camden,E09000007,Week 1,COVID 19,Hospital,Registrations,0
Camden,E09000007,Week 1,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 1,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 10,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 10,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 10,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 10,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 10,COVID 19,Home,Occurrences,0
Camden,E09000007,Week 10,COVID 19,Home,Registrations,0
Camden,E09000007,Week 10,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 10,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 10,COVID 19,Hospital,Occurrences,0
Camden,E09000007,Week 10,COVID 19,Hospital,Registrations,0
Camden,E09000007,Week 10,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 10,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 11,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 11,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 11,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 11,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 11,COVID 19,Home,Occurrences,0
Camden,E09000007,Week 11,COVID 19,Home,Registrations,0
Camden,E09000007,Week 11,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 11,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 11,COVID 19,Hospital,Occurrences,0
Camden,E09000007,Week 11,COVID 19,Hospital,Registrations,0
Camden,E09000007,Week 11,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 11,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 12,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 12,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 12,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 12,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 12,COVID 19,Home,Occurrences,0
Camden,E09000007,Week 12,COVID 19,Home,Registrations,0
Camden,E09000007,Week 12,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 12,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 12,COVID 19,Hospital,Occurrences,4
Camden,E09000007,Week 12,COVID 19,Hospital,Registrations,2
Camden,E09000007,Week 12,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 12,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 13,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 13,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 13,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 13,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 13,COVID 19,Home,Occurrences,0
Camden,E09000007,Week 13,COVID 19,Home,Registrations,0
Camden,E09000007,Week 13,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 13,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 13,COVID 19,Hospital,Occurrences,9
Camden,E09000007,Week 13,COVID 19,Hospital,Registrations,3
Camden,E09000007,Week 13,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 13,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 14,COVID 19,Care home,Occurrences,1
Camden,E09000007,Week 14,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 14,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 14,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 14,COVID 19,Home,Occurrences,3
Camden,E09000007,Week 14,COVID 19,Home,Registrations,0
Camden,E09000007,Week 14,COVID 19,Hospice,Occurrences,1
Camden,E09000007,Week 14,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 14,COVID 19,Hospital,Occurrences,32
Camden,E09000007,Week 14,COVID 19,Hospital,Registrations,19
Camden,E09000007,Week 14,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 14,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 15,COVID 19,Care home,Occurrences,8
Camden,E09000007,Week 15,COVID 19,Care home,Registrations,2
Camden,E09000007,Week 15,COVID 19,Elsewhere,Occurrences,1
Camden,E09000007,Week 15,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 15,COVID 19,Home,Occurrences,4
Camden,E09000007,Week 15,COVID 19,Home,Registrations,3
Camden,E09000007,Week 15,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 15,COVID 19,Hospice,Registrations,1
Camden,E09000007,Week 15,COVID 19,Hospital,Occurrences,31
Camden,E09000007,Week 15,COVID 19,Hospital,Registrations,25
Camden,E09000007,Week 15,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 15,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 16,COVID 19,Care home,Occurrences,1
Camden,E09000007,Week 16,COVID 19,Care home,Registrations,4
Camden,E09000007,Week 16,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 16,COVID 19,Elsewhere,Registrations,1
Camden,E09000007,Week 16,COVID 19,Home,Occurrences,3
Camden,E09000007,Week 16,COVID 19,Home,Registrations,2
Camden,E09000007,Week 16,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 16,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 16,COVID 19,Hospital,Occurrences,23
Camden,E09000007,Week 16,COVID 19,Hospital,Registrations,25
Camden,E09000007,Week 16,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 16,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 17,COVID 19,Care home,Occurrences,7
Camden,E09000007,Week 17,COVID 19,Care home,Registrations,8
Camden,E09000007,Week 17,COVID 19,Elsewhere,Occurrences,1
Camden,E09000007,Week 17,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 17,COVID 19,Home,Occurrences,2
Camden,E09000007,Week 17,COVID 19,Home,Registrations,3
Camden,E09000007,Week 17,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 17,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 17,COVID 19,Hospital,Occurrences,14
Camden,E09000007,Week 17,COVID 19,Hospital,Registrations,26
Camden,E09000007,Week 17,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 17,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 18,COVID 19,Care home,Occurrences,1
Camden,E09000007,Week 18,COVID 19,Care home,Registrations,3
Camden,E09000007,Week 18,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 18,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 18,COVID 19,Home,Occurrences,1
Camden,E09000007,Week 18,COVID 19,Home,Registrations,2
Camden,E09000007,Week 18,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 18,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 18,COVID 19,Hospital,Occurrences,8
Camden,E09000007,Week 18,COVID 19,Hospital,Registrations,9
Camden,E09000007,Week 18,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 18,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 19,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 19,COVID 19,Care home,Registrations,1
Camden,E09000007,Week 19,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 19,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 19,COVID 19,Home,Occurrences,1
Camden,E09000007,Week 19,COVID 19,Home,Registrations,0
Camden,E09000007,Week 19,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 19,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 19,COVID 19,Hospital,Occurrences,0
Camden,E09000007,Week 19,COVID 19,Hospital,Registrations,4
Camden,E09000007,Week 19,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 19,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 2,COVID 19,Care home,Occurrences,0
Camden,E09000007,Week 2,COVID 19,Care home,Registrations,0
Camden,E09000007,Week 2,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 2,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 2,COVID 19,Home,Occurrences,0
Camden,E09000007,Week 2,COVID 19,Home,Registrations,0
Camden,E09000007,Week 2,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 2,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 2,COVID 19,Hospital,Occurrences,0
Camden,E09000007,Week 2,COVID 19,Hospital,Registrations,0
Camden,E09000007,Week 2,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 2,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 20,COVID 19,Care home,Occurrences,1
Camden,E09000007,Week 20,COVID 19,Care home,Registrations,1
Camden,E09000007,Week 20,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 20,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 20,COVID 19,Home,Occurrences,1
Camden,E09000007,Week 20,COVID 19,Home,Registrations,3
Camden,E09000007,Week 20,COVID 19,Hospice,Occurrences,0
Camden,E09000007,Week 20,COVID 19,Hospice,Registrations,0
Camden,E09000007,Week 20,COVID 19,Hospital,Occurrences,0
Camden,E09000007,Week 20,COVID 19,Hospital,Registrations,0
Camden,E09000007,Week 20,COVID 19,Other communal establishment,Occurrences,0
Camden,E09000007,Week 20,COVID 19,Other communal establishment,Registrations,0
Camden,E09000007,Week 21,COVID 19,Care home,Occurrences,1
Camden,E09000007,Week 21,COVID 19,Care home,Registrations,1
Camden,E09000007,Week 21,COVID 19,Elsewhere,Occurrences,0
Camden,E09000007,Week 21,COVID 19,Elsewhere,Registrations,0
Camden,E09000007,Week 21,COVID 19,Home,Occurrences,1
